CurrencyRank,Currency,Pair,Volume (24h),Price,Volume (%),Liquidity,Category,Fee Type,Updated
253,PegsUSD,PUSD/PEGS,$372781,$0.2214,0.01%,-,Spot,Percentage,431 hours ago
254,MCDEX,MCB/WETH,$368956,$11.03,0.01%,429,Spot,Percentage,Recently
255,Mirrored iShares Gold Trust,mIAU/UST,$365664,$19.22,0.01%,-,Spot,Percentage,Recently
256,unilock.network,UNL/WETH,$363930,$2739.78,0.01%,-,Spot,Percentage,Recently
257,Trade Butler Bot,TBB/WETH,$359164,$795.96,0.01%,-,Spot,Percentage,Recently
258,Wrapped NXM,wNXM/WETH,$349701,$55.39,0.01%,-,Spot,Percentage,Recently
259,Band Protocol,BAND/WETH,$347275,$13.20,0.01%,-,Spot,Percentage,Recently
260,Energi,NRGE/WETH,$344468,$2.34,0.01%,-,Spot,Percentage,Recently
261,Bundles Finance,BUND/WETH,$342896,$17.74,0.01%,-,Spot,Percentage,Recently
262,UniCrypt,UNCX/WETH,$335962,$144.96,0.01%,-,Spot,Percentage,Recently
263,WETH,WETH/DG,$334550,$1806.11,0.01%,-,Spot,Percentage,Recently
264,WETH,WETH/ROOT,$328060,$1807.25,0.01%,-,Spot,Percentage,Recently
265,Lido DAO Token,LDO/WETH,$325382,$2.48,0.01%,-,Spot,Percentage,Recently
266,OpenDAO,OPEN/WETH,$324799,$1.63,0.01%,-,Spot,Percentage,Recently
267,pBTC35A,pBTC35A/USDT,$323110,$111.57,0.01%,-,Spot,Percentage,Recently
268,Secret (ERC20),WSCRT/WETH,$316328,$1.82,0.01%,-,Spot,Percentage,Recently
269,UniDexGas,UNDG/WETH,$315057,$1244.93,0.01%,-,Spot,Percentage,Recently
270,Function X,FX/WETH,$312763,$0.09924,0.01%,-,Spot,Percentage,Recently
271,Bounce Token,BOT/WETH,$310976,$1843.78,0.01%,-,Spot,Percentage,Recently
272,ZeroSwap,ZEE/WETH,$310416,$0.3943,0.01%,-,Spot,Percentage,Recently
273,BoringDAO,BOR/WETH,$308840,$633.20,0.01%,-,Spot,Percentage,46 days ago
274,Serum,SRM/WETH,$305648,$3.50,0.01%,-,Spot,Percentage,Recently
275,FEGtoken,FEG/WETH,$304503,<$0.00000001,0.01%,-,Spot,Percentage,Recently
276,Akropolis,AKRO/USDC,$303476,$0.04718,0.01%,-,Spot,Percentage,Recently
277,Plasma Finance,PPAY/WETH,$302700,$0.06593,0.01%,-,Spot,Percentage,Recently
278,WETH,WETH/CACXT,$302617,$0,0.01%,-,Spot,Percentage,105 days ago
279,Mirrored Google,mGOOGL/UST,$302584,$2322.02,0.01%,-,Spot,Percentage,Recently
280,GYSR,GYSR/WETH,$302151,$0.6214,0.01%,-,Spot,Percentage,Recently
281,UnFederalReserve,ERSDL/WETH,$299747,$0.01835,0.01%,-,Spot,Percentage,Recently
282,OIN Finance,OIN/WETH,$298957,$0.3652,0.01%,-,Spot,Percentage,Recently
283,Mettalex,MTLX/USDT,$298661,$8.57,0.01%,-,Spot,Percentage,Recently
284,Hxro,HXRO/WETH,$295935,$0.2853,0.01%,-,Spot,Percentage,Recently
285,Axia Protocol,AXIAv3/WETH,$293467,$0.4638,0.01%,-,Spot,Percentage,Recently
286,xFund,xFUND/WETH,$290257,$818.15,0.01%,-,Spot,Percentage,Recently
287,CUDOS,CUDOS/WETH,$283925,$0.04503,0.01%,-,Spot,Percentage,Recently
288,Universal Dollar,U8D/USDC,$281027,$0.9074,0.01%,-,Spot,Percentage,Recently
289,Name Changing Token,NCT/WETH,$279748,$0.06545,0.01%,-,Spot,Percentage,Recently
290,Doki Doki Finance,DOKI/WETH,$278423,$135.15,0.01%,-,Spot,Percentage,Recently
291,Vectorspace AI,VXV/WETH,$274723,$0.7125,0.01%,-,Spot,Percentage,Recently
